caso,intento,inicio_utc,inicio_epoch,fin_epoch,estado,latencia_ms,error
escribe-cruza,27,2026-09-20T23:53:55.397+00:00,1789948435.397117,1789948435.448153,ok,50.985,
lee-sj,28,2026-09-20T23:53:55.587+00:00,1789948435.587896,1789948435.589035,ok,1.110,
lee-moneda,28,2026-09-20T23:53:55.589+00:00,1789948435.589948,1789948435.591077,ok,1.093,
lee-limon,28,2026-09-20T23:53:55.589+00:00,1789948435.589315,1789948435.591362,ok,2.020,
escribe-sj,28,2026-09-20T23:53:55.589+00:00,1789948435.589835,1789948435.612685,ok,22.805,
escribe-limon,28,2026-09-20T23:53:55.591+00:00,1789948435.591672,1789948435.618459,ok,26.748,
escribe-cruza,28,2026-09-20T23:53:55.597+00:00,1789948435.597291,1789948435.648666,ok,51.333,
lee-sj,29,2026-09-20T23:53:55.788+00:00,1789948435.788004,1789948435.788926,ok,0.895,
lee-limon,29,2026-09-20T23:53:55.789+00:00,1789948435.789377,1789948435.791137,ok,1.727,
lee-moneda,29,2026-09-20T23:53:55.790+00:00,1789948435.790015,1789948435.791319,ok,1.217,
escribe-sj,29,2026-09-20T23:53:55.789+00:00,1789948435.789891,1789948435.812622,ok,22.686,
escribe-limon,29,2026-09-20T23:53:55.791+00:00,1789948435.791738,1789948435.817887,ok,26.111,
escribe-cruza,29,2026-09-20T23:53:55.797+00:00,1789948435.797769,1789948435.848513,ok,50.704,
lee-sj,30,2026-09-20T23:53:55.988+00:00,1789948435.988127,1789948435.989113,ok,0.955,
lee-moneda,30,2026-09-20T23:53:55.990+00:00,1789948435.990083,1789948435.991330,ok,1.177,
escribe-sj,30,2026-09-20T23:53:55.989+00:00,1789948435.989975,1789948436.012319,ok,22.211,
lee-sj,31,2026-09-20T23:53:56.188+00:00,1789948436.188228,1789948436.189270,ok,1.013,
lee-moneda,31,2026-09-20T23:53:56.190+00:00,1789948436.190178,1789948436.191288,ok,1.076,
escribe-sj,31,2026-09-20T23:53:56.190+00:00,1789948436.190041,1789948436.223044,ok,32.965,
lee-sj,32,2026-09-20T23:53:56.388+00:00,1789948436.388296,1789948436.389246,ok,0.915,
lee-moneda,32,2026-09-20T23:53:56.390+00:00,1789948436.390244,1789948436.391301,ok,1.004,
escribe-sj,32,2026-09-20T23:53:56.390+00:00,1789948436.390104,1789948436.414011,ok,23.863,
lee-sj,33,2026-09-20T23:53:56.588+00:00,1789948436.588387,1789948436.589533,ok,1.110,
lee-moneda,33,2026-09-20T23:53:56.590+00:00,1789948436.590306,1789948436.591208,ok,0.869,
escribe-sj,33,2026-09-20T23:53:56.590+00:00,1789948436.590173,1789948436.613132,ok,22.919,
lee-sj,34,2026-09-20T23:53:56.788+00:00,1789948436.788456,1789948436.789654,ok,1.167,
lee-moneda,34,2026-09-20T23:53:56.790+00:00,1789948436.790372,1789948436.791991,ok,1.551,
escribe-sj,34,2026-09-20T23:53:56.790+00:00,1789948436.790251,1789948436.812471,ok,22.182,
lee-sj,35,2026-09-20T23:53:56.988+00:00,1789948436.988576,1789948436.989685,ok,1.080,
lee-moneda,35,2026-09-20T23:53:56.990+00:00,1789948436.990449,1789948436.991653,ok,1.169,
escribe-sj,35,2026-09-20T23:53:56.990+00:00,1789948436.990328,1789948437.004562,ok,14.196,
lee-sj,36,2026-09-20T23:53:57.188+00:00,1789948437.188697,1789948437.190228,ok,1.502,
lee-moneda,36,2026-09-20T23:53:57.190+00:00,1789948437.190517,1789948437.191559,ok,1.008,
escribe-sj,36,2026-09-20T23:53:57.190+00:00,1789948437.190392,1789948437.208288,ok,17.857,
lee-sj,37,2026-09-20T23:53:57.388+00:00,1789948437.388805,1789948437.389794,ok,0.962,
lee-moneda,37,2026-09-20T23:53:57.390+00:00,1789948437.390580,1789948437.391654,ok,1.006,
escribe-sj,37,2026-09-20T23:53:57.390+00:00,1789948437.390457,1789948437.414052,ok,23.554,
lee-sj,38,2026-09-20T23:53:57.588+00:00,1789948437.588914,1789948437.590029,ok,1.086,
lee-moneda,38,2026-09-20T23:53:57.590+00:00,1789948437.590647,1789948437.591545,ok,0.864,
escribe-sj,38,2026-09-20T23:53:57.590+00:00,1789948437.590521,1789948437.613238,ok,22.670,
lee-sj,39,2026-09-20T23:53:57.789+00:00,1789948437.789021,1789948437.790108,ok,1.058,
lee-moneda,39,2026-09-20T23:53:57.790+00:00,1789948437.790710,1789948437.791721,ok,0.957,
escribe-sj,39,2026-09-20T23:53:57.790+00:00,1789948437.790603,1789948437.814205,ok,23.561,
lee-sj,40,2026-09-20T23:53:57.989+00:00,1789948437.989127,1789948437.990207,ok,1.026,
lee-moneda,40,2026-09-20T23:53:57.990+00:00,1789948437.990790,1789948437.992081,ok,1.219,
lee-limon,30,2026-09-20T23:53:55.989+00:00,1789948435.989444,1789948437.992367,error,2002.847,QueryCanceled: query execution canceled due to statement timeout
escribe-limon,30,2026-09-20T23:53:55.991+00:00,1789948435.991791,1789948437.998710,error,2006.878,QueryCanceled: query execution canceled due to statement timeout
escribe-cruza,30,2026-09-20T23:53:55.997+00:00,1789948435.997877,1789948438.002599,error,2004.676,QueryCanceled: query execution canceled due to statement timeout
escribe-sj,40,2026-09-20T23:53:57.990+00:00,1789948437.990669,1789948438.018231,ok,27.498,
lee-sj,41,2026-09-20T23:53:58.189+00:00,1789948438.189175,1789948438.190048,ok,0.846,
lee-moneda,41,2026-09-20T23:53:58.190+00:00,1789948438.190942,1789948438.191806,ok,0.831,
lee-moneda,42,2026-09-20T23:53:58.391+00:00,1789948438.391029,1789948438.392047,ok,0.983,
lee-moneda,43,2026-09-20T23:53:58.591+00:00,1789948438.591097,1789948438.592113,ok,0.984,
lee-moneda,44,2026-09-20T23:53:58.791+00:00,1789948438.791167,1789948438.792095,ok,0.896,
lee-moneda,45,2026-09-20T23:53:58.991+00:00,1789948438.991238,1789948438.992194,ok,0.908,
lee-moneda,46,2026-09-20T23:53:59.191+00:00,1789948439.191305,1789948439.192304,ok,0.965,
lee-moneda,47,2026-09-20T23:53:59.391+00:00,1789948439.391374,1789948439.392354,ok,0.934,
lee-moneda,48,2026-09-20T23:53:59.591+00:00,1789948439.591439,1789948439.592420,ok,0.948,
lee-moneda,49,2026-09-20T23:53:59.791+00:00,1789948439.791507,1789948439.792730,ok,1.119,
lee-moneda,50,2026-09-20T23:53:59.991+00:00,1789948439.991575,1789948439.992653,ok,1.046,
lee-limon,31,2026-09-20T23:53:57.992+00:00,1789948437.992472,1789948439.997854,error,2005.345,QueryCanceled: query execution canceled due to statement timeout
escribe-limon,31,2026-09-20T23:53:57.999+00:00,1789948437.999053,1789948440.005303,error,2006.206,QueryCanceled: query execution canceled due to statement timeout
