intento,inicio_utc,inicio_epoch,fin_epoch,estado,folio,latencia_ms,error
163,2026-09-19T03:01:58.630+00:00,1789786918.630457,1789786918.638116,ok,162,7.632,
164,2026-09-19T03:01:58.830+00:00,1789786918.830564,1789786918.837614,ok,163,7.022,
165,2026-09-19T03:01:59.030+00:00,1789786919.030647,1789786919.035521,ok,164,4.845,
166,2026-09-19T03:01:59.230+00:00,1789786919.230743,1789786919.245811,ok,165,15.038,
167,2026-09-19T03:01:59.430+00:00,1789786919.430864,1789786919.437902,ok,166,7.011,
168,2026-09-19T03:01:59.630+00:00,1789786919.630945,1789786919.638733,ok,167,7.754,
169,2026-09-19T03:01:59.831+00:00,1789786919.831053,1789786919.837997,ok,168,6.895,
170,2026-09-19T03:02:00.031+00:00,1789786920.031174,1789786920.038246,ok,169,7.045,
171,2026-09-19T03:02:00.231+00:00,1789786920.231284,1789786920.238482,ok,170,7.172,
172,2026-09-19T03:02:00.431+00:00,1789786920.431419,1789786920.436354,ok,171,4.909,
173,2026-09-19T03:02:00.631+00:00,1789786920.631472,1789786920.639171,ok,172,7.671,
174,2026-09-19T03:02:00.831+00:00,1789786920.831579,1789786920.838635,ok,173,7.023,
175,2026-09-19T03:02:01.031+00:00,1789786921.031649,1789786921.039356,ok,174,7.666,
176,2026-09-19T03:02:01.231+00:00,1789786921.231749,1789786921.236712,ok,175,4.928,
177,2026-09-19T03:02:01.431+00:00,1789786921.431869,1789786921.439212,ok,176,7.311,
178,2026-09-19T03:02:01.631+00:00,1789786921.631979,1789786921.639555,ok,177,7.546,
179,2026-09-19T03:02:01.832+00:00,1789786921.832089,1789786921.839245,ok,178,7.128,
180,2026-09-19T03:02:02.032+00:00,1789786922.032196,1789786922.039075,ok,179,6.853,
181,2026-09-19T03:02:02.232+00:00,1789786922.232272,1789786922.239588,ok,180,7.279,
182,2026-09-19T03:02:02.432+00:00,1789786922.432340,1789786922.439718,ok,181,7.345,
183,2026-09-19T03:02:02.632+00:00,1789786922.632437,1789786922.640004,ok,182,7.535,
184,2026-09-19T03:02:02.832+00:00,1789786922.832508,1789786922.839679,ok,183,7.142,
185,2026-09-19T03:02:03.032+00:00,1789786923.032578,1789786923.037762,ok,184,5.158,
186,2026-09-19T03:02:03.232+00:00,1789786923.232676,1789786923.239858,ok,185,7.140,
187,2026-09-19T03:02:03.432+00:00,1789786923.432798,1789786923.440233,ok,186,7.400,
188,2026-09-19T03:02:03.632+00:00,1789786923.632904,1789786923.638628,ok,187,5.688,
189,2026-09-19T03:02:03.832+00:00,1789786923.832972,1789786923.840661,ok,188,7.658,
190,2026-09-19T03:02:04.033+00:00,1789786924.033044,1789786924.040166,ok,189,7.094,
191,2026-09-19T03:02:04.233+00:00,1789786924.233166,1789786924.240774,ok,190,7.575,
192,2026-09-19T03:02:04.433+00:00,1789786924.433236,1789786924.438822,ok,191,5.548,
193,2026-09-19T03:02:04.633+00:00,1789786924.633356,1789786924.643506,ok,192,10.124,
194,2026-09-19T03:02:04.833+00:00,1789786924.833461,1789786924.841241,ok,193,7.715,
195,2026-09-19T03:02:05.033+00:00,1789786925.033568,1789786925.038614,ok,194,5.018,
196,2026-09-19T03:02:05.233+00:00,1789786925.233643,1789786925.245367,ok,195,11.692,
197,2026-09-19T03:02:05.433+00:00,1789786925.433756,1789786925.440665,ok,196,6.872,
198,2026-09-19T03:02:05.633+00:00,1789786925.633865,1789786925.638551,ok,197,4.654,
199,2026-09-19T03:02:05.833+00:00,1789786925.833973,1789786925.841213,ok,198,7.209,
200,2026-09-19T03:02:06.034+00:00,1789786926.034040,1789786926.038839,ok,199,4.768,
201,2026-09-19T03:02:06.234+00:00,1789786926.234159,1789786926.241572,ok,200,7.386,
202,2026-09-19T03:02:06.434+00:00,1789786926.434265,1789786926.438988,ok,201,4.693,
203,2026-09-19T03:02:06.634+00:00,1789786926.634346,1789786926.640398,ok,202,6.015,
204,2026-09-19T03:02:06.834+00:00,1789786926.834418,1789786926.839310,ok,203,4.863,
205,2026-09-19T03:02:07.034+00:00,1789786927.034498,1789786927.041444,ok,204,6.918,
206,2026-09-19T03:02:07.234+00:00,1789786927.234581,1789786927.242181,ok,205,7.565,
207,2026-09-19T03:02:07.434+00:00,1789786927.434650,1789786927.442141,ok,206,7.447,
208,2026-09-19T03:02:07.634+00:00,1789786927.634748,1789786927.641718,ok,207,6.943,
209,2026-09-19T03:02:07.834+00:00,1789786927.834856,1789786927.842361,ok,208,7.479,
210,2026-09-19T03:02:08.034+00:00,1789786928.034927,1789786928.040225,ok,209,5.268,
211,2026-09-19T03:02:08.235+00:00,1789786928.235035,1789786928.242353,ok,210,7.290,
212,2026-09-19T03:02:08.435+00:00,1789786928.435141,1789786928.442239,ok,211,7.070,
213,2026-09-19T03:02:08.635+00:00,1789786928.635247,1789786928.640417,ok,212,5.124,
214,2026-09-19T03:02:08.835+00:00,1789786928.835354,1789786928.842443,ok,213,7.033,
215,2026-09-19T03:02:09.035+00:00,1789786929.035463,1789786929.042504,ok,214,7.014,
216,2026-09-19T03:02:09.235+00:00,1789786929.235540,1789786929.248499,ok,215,12.924,
217,2026-09-19T03:02:09.435+00:00,1789786929.435607,1789786929.442980,ok,216,7.343,
218,2026-09-19T03:02:09.635+00:00,1789786929.635707,1789786929.640812,ok,217,5.079,
219,2026-09-19T03:02:09.835+00:00,1789786929.835828,1789786929.842907,ok,218,7.030,
220,2026-09-19T03:02:10.035+00:00,1789786930.035948,1789786930.042946,ok,219,6.969,
221,2026-09-19T03:02:10.236+00:00,1789786930.236056,1789786930.243338,ok,220,7.232,
222,2026-09-19T03:02:10.436+00:00,1789786930.436126,1789786930.443202,ok,221,7.014,
223,2026-09-19T03:02:10.636+00:00,1789786930.636232,1789786930.643600,ok,222,7.336,
224,2026-09-19T03:02:10.836+00:00,1789786930.836310,1789786930.841385,ok,223,4.993,
225,2026-09-19T03:02:11.036+00:00,1789786931.036419,1789786931.041293,ok,224,4.835,
226,2026-09-19T03:02:11.236+00:00,1789786931.236489,1789786931.243726,ok,225,7.203,
227,2026-09-19T03:02:11.436+00:00,1789786931.436560,1789786931.443632,ok,226,7.044,
228,2026-09-19T03:02:11.636+00:00,1789786931.636631,1789786931.641550,ok,227,4.891,
229,2026-09-19T03:02:11.836+00:00,1789786931.836742,1789786931.841429,ok,228,4.646,
230,2026-09-19T03:02:12.036+00:00,1789786932.036848,1789786932.041787,ok,229,4.910,
231,2026-09-19T03:02:12.236+00:00,1789786932.236934,1789786932.243780,ok,230,6.810,
232,2026-09-19T03:02:12.437+00:00,1789786932.437042,1789786932.444174,ok,231,7.098,
233,2026-09-19T03:02:12.637+00:00,1789786932.637113,1789786932.644296,ok,232,7.149,
234,2026-09-19T03:02:12.837+00:00,1789786932.837183,1789786932.844160,ok,233,6.949,
235,2026-09-19T03:02:13.037+00:00,1789786933.037289,1789786933.044353,ok,234,7.031,
236,2026-09-19T03:02:13.237+00:00,1789786933.237357,1789786933.244560,ok,235,7.173,
237,2026-09-19T03:02:13.437+00:00,1789786933.437423,1789786933.442966,ok,236,5.508,
238,2026-09-19T03:02:13.637+00:00,1789786933.637491,1789786933.645852,ok,237,8.323,
239,2026-09-19T03:02:13.837+00:00,1789786933.837559,1789786933.844675,ok,238,7.085,
240,2026-09-19T03:02:14.037+00:00,1789786934.037628,1789786934.044699,ok,239,7.044,
241,2026-09-19T03:02:14.237+00:00,1789786934.237698,1789786934.244904,ok,240,7.175,
242,2026-09-19T03:02:14.437+00:00,1789786934.437772,1789786934.442598,ok,241,4.791,
243,2026-09-19T03:02:14.637+00:00,1789786934.637839,1789786934.644977,ok,242,7.107,
244,2026-09-19T03:02:14.837+00:00,1789786934.837910,1789786934.845217,ok,243,7.272,
245,2026-09-19T03:02:15.037+00:00,1789786935.037980,1789786935.044509,ok,244,6.476,
246,2026-09-19T03:02:15.238+00:00,1789786935.238056,1789786935.247177,ok,245,9.086,
247,2026-09-19T03:02:15.438+00:00,1789786935.438125,1789786935.445230,ok,246,7.072,
248,2026-09-19T03:02:15.638+00:00,1789786935.638193,1789786935.645450,ok,247,7.206,
249,2026-09-19T03:02:15.838+00:00,1789786935.838264,1789786935.845519,ok,248,7.228,
250,2026-09-19T03:02:16.038+00:00,1789786936.038370,1789786936.045552,ok,249,7.155,
251,2026-09-19T03:02:16.238+00:00,1789786936.238419,1789786936.244938,ok,250,6.463,
252,2026-09-19T03:02:16.438+00:00,1789786936.438503,1789786936.445922,ok,251,7.377,
253,2026-09-19T03:02:16.638+00:00,1789786936.638586,1789786936.645835,ok,252,7.218,
254,2026-09-19T03:02:16.838+00:00,1789786936.838655,1789786936.845792,ok,253,7.109,
255,2026-09-19T03:02:17.038+00:00,1789786937.038768,1789786937.046184,ok,254,7.381,
256,2026-09-19T03:02:17.238+00:00,1789786937.238836,1789786937.246017,ok,255,7.148,
257,2026-09-19T03:02:17.438+00:00,1789786937.438919,1789786937.446193,ok,256,7.241,
258,2026-09-19T03:02:17.638+00:00,1789786937.638990,1789786937.646389,ok,257,7.371,
259,2026-09-19T03:02:17.839+00:00,1789786937.839059,1789786937.846229,ok,258,7.142,
260,2026-09-19T03:02:18.039+00:00,1789786938.039128,1789786938.045900,ok,259,6.733,
261,2026-09-19T03:02:18.239+00:00,1789786938.239202,1789786938.246640,ok,260,7.410,
