 270 ok        7.324 ms  folio=269 
 271 ok        5.035 ms  folio=270 
 272 ok        7.181 ms  folio=271 
 273 ok        7.549 ms  folio=272 
 274 ok        7.241 ms  folio=273 
 275 ok        7.299 ms  folio=274 
 276 ok        4.657 ms  folio=275 
 277 ok        7.174 ms  folio=276 
 278 ok        7.220 ms  folio=277 
 279 ok        7.256 ms  folio=278 
 280 ok        5.546 ms  folio=279 

Intentos: 280 · ok: 278 · error: 2 · CSV: evidence/p1/e4-corrida1.csv
